057620000008V3840;Otto-Hahn-Straße
057620000008V3845;Sohnreystraße
057620000008V3850;Sollingstraße
057620000008V3861;von-Heyden-Straße
057620000008V3870;Westfalenweg
057620000008V3880;Wittekindweg
057620000008V3890;Worthweg
057620000008V3900;Würrigser Straße
057620000008V3911;Zum Knick
057620000008V3915;Zum Kernkraftwerk
057620000008V3920;Zum Weidenbusch
057620000008V3925;Am Laubach
